ev,jovedelemTipus,osszesen,kor1,kor2,kor3,kor4,vegzettseg1,vegzettseg2,vegzettseg3,vegzettseg4
2010,brutto,1 156 484,932 061,1 143 352,1 303 643,1 087 861,729 142,1 044 164,1 402 297,2 070 881
2010,netto,947 775,779 195,894 842,1 080 681,1 038 819,661 557,860 007,1 125 959,1 583 539
2015,brutto,1 440 062,1 104 191,1 426 430,1 545 188,1 431 561,872 981,1 269 396,1 495 038,2 080 221
2015,netto,1 150 303,913 039,1 088 431,1 234 368,1 329 492,775 119,1 021 548,1 182 755,1 600 154
2016,brutto,1 504 048,1 177 876,1 487 081,1 633 428,1 491 925,982 711,1 319 487,1 520 788,2 136 230
2016,netto,1 199 094,929 270,1 138 392,1 295 388,1 370 368,839 942,1 059 395,1 205 286,1 656 778
2017,brutto,1 643 512,1 560 597,1 623 242,1 794 630,1 588 126,1 026 474,1 448 895,1 674 436,2 270 805
2017,netto,1 300 079,1 247 095,1 226 539,1 407 556,1 466 459,886 661,1 150 225,1 324 236,1 738 138
2018,brutto,1 815 339,1 669 810,1 849 614,1 995 162,1 550 687,1 147 219,1 640 615,1 798 682,2 519 938
2018,netto,1 431 983,1 267 652,1 389 272,1 571 079,1 463 929,984 554,1 285 130,1 421 095,1 939 013
2019,brutto,2 013 082,1 726 406,2 027 737,2 274 753,1 746 440,1 169 952,1 627 299,2 071 539,2 920 484
2019,netto,1 615 503,1 349 966,1 546 392,1 813 852,1 692 431,1 037 783,1 329 599,1 646 284,2 272 482
2020,brutto,2 238 468,1 838 688,2 262 346,2 468 750,2 010 891,1 388 832,1 969 400,2 293 809,2 982 867
2020,netto,1 766 965,1 250 211,1 725 540,1 954 148,1 829 732,1 091 747,1 550 012,1 810 487,2 362 492
2021,brutto,2 428 269,2 182 075,2 426 988,2 729 655,2 205 956,1 587 910,2 027 973,2 448 971,3 320 232
2021,netto,1 920 291,1 695 845,1 837 367,2 089 301,2 077 196,1 335 440,1 656 680,1 957 640,2 497 075
